intervention_category,cate_segment,n,mean_cate,median_cate,benefit_rate
LIQUIDITY_PROTECTION,Q1,21,-0.16437798803823936,-0.17149747998103285,1.0
LIQUIDITY_PROTECTION,Q2,20,-0.05012718169605037,-0.05032456436767681,1.0
LIQUIDITY_PROTECTION,Q3,20,0.04636400010473284,0.047140627403474133,0.0
LIQUIDITY_PROTECTION,Q4,21,0.13716154167686376,0.12471416775518945,0.0
OBLIGATION_MANAGEMENT,Q1,20,-0.3093561902150137,-0.301536037442035,1.0
OBLIGATION_MANAGEMENT,Q2,19,-0.1922762271040191,-0.1910836667988001,1.0
OBLIGATION_MANAGEMENT,Q3,19,-0.14715257224037676,-0.1476108875358099,1.0
OBLIGATION_MANAGEMENT,Q4,19,-0.07635109101779348,-0.07763581163584901,0.9473684210526315
SPENDING_CONTROL,Q1,36,-0.17177159430352285,-0.1679985300110507,1.0
SPENDING_CONTROL,Q2,35,-0.05495748071231411,-0.04035693601384366,1.0
SPENDING_CONTROL,Q3,35,0.02000084358150906,0.021915832148994827,0.17142857142857143
SPENDING_CONTROL,Q4,35,0.1309356671228736,0.1329936565463169,0.0
