intervention_category,cate_segment,n,mean_cate,median_cate,benefit_rate
LIQUIDITY_PROTECTION,Q1,21,-0.16905619034443506,-0.14502226297534804,1.0
LIQUIDITY_PROTECTION,Q2,20,-0.05384889641635594,-0.05446851549013643,1.0
LIQUIDITY_PROTECTION,Q3,20,0.03221154720813181,0.03042418937697078,0.2
LIQUIDITY_PROTECTION,Q4,21,0.15363839567297585,0.1501989623296263,0.0
OBLIGATION_MANAGEMENT,Q1,20,-0.32405775640404555,-0.29853921923729965,1.0
OBLIGATION_MANAGEMENT,Q2,19,-0.21137905737598695,-0.2085461523530044,1.0
OBLIGATION_MANAGEMENT,Q3,19,-0.1078493853101975,-0.11175334848529453,1.0
OBLIGATION_MANAGEMENT,Q4,19,0.009632240726127927,-0.004653049665420045,0.5263157894736842
SPENDING_CONTROL,Q1,36,-0.1908916125212992,-0.190529640343066,1.0
SPENDING_CONTROL,Q2,35,-0.04104436813136557,-0.03788905711510507,1.0
SPENDING_CONTROL,Q3,35,0.025737618078135075,0.021710965853370096,0.17142857142857143
SPENDING_CONTROL,Q4,35,0.1174856236168232,0.11397500408809405,0.0
