feature,treatment_mean,control_mean,absolute_difference,intervention_category
risk_probability,0.30219343279316546,0.3095300584987165,0.0073366257055510475,LIQUIDITY_PROTECTION
cash_buffer_ratio,0.2021842351140119,0.2211418979931903,0.01895766287917841,LIQUIDITY_PROTECTION
expense_pressure,0.9653102840768389,0.9552495995484023,0.01006068452843667,LIQUIDITY_PROTECTION
spending_growth,0.13997633123374156,0.054655087520031835,0.08532124371370972,LIQUIDITY_PROTECTION
discretionary_pressure,0.1332451867999515,0.15393989507115233,0.020694708271200818,LIQUIDITY_PROTECTION
recurring_spending,29053.711739130435,27515.025833333333,1538.6859057971014,LIQUIDITY_PROTECTION
balance_growth,-1.608793397229028,0.05733572948730881,1.666129126716337,LIQUIDITY_PROTECTION
risk_probability,0.00022609637650645927,8.096014708222815e-05,0.0001451362294242311,SPENDING_CONTROL
cash_buffer_ratio,2.332931205444217,2.1714887852940765,0.16144242015014054,SPENDING_CONTROL
expense_pressure,1.1769532394135704,1.0371105345967344,0.13984270481683603,SPENDING_CONTROL
spending_growth,1.1831932819990452,0.6923129263717865,0.4908803556272586,SPENDING_CONTROL
discretionary_pressure,0.5693846455189323,0.6231218303172003,0.053737184798267945,SPENDING_CONTROL
recurring_spending,22779.002,8106.356666666667,14672.645333333334,SPENDING_CONTROL
balance_growth,-0.05618613296076227,0.00029496193179138233,0.05648109489255365,SPENDING_CONTROL
risk_probability,0.0019990484279383634,0.0007626006376509389,0.0012364477902874244,OBLIGATION_MANAGEMENT
cash_buffer_ratio,2.2212638311555573,1.5350235871865956,0.6862402439689617,OBLIGATION_MANAGEMENT
expense_pressure,1.0771149597101803,1.03855429391912,0.03856066579106043,OBLIGATION_MANAGEMENT
spending_growth,0.39119129173784617,0.29408183691370576,0.0971094548241404,OBLIGATION_MANAGEMENT
discretionary_pressure,0.2938923098915514,0.22777294677139742,0.06611936312015398,OBLIGATION_MANAGEMENT
recurring_spending,21103.191764705884,23256.69076923077,2153.499004524885,OBLIGATION_MANAGEMENT
balance_growth,-0.03516408768222809,-0.018137755389450196,0.017026332292777894,OBLIGATION_MANAGEMENT
