user_id,month,risk_probability,risk_level,financial_pressure,intervention,intervention_priority,cate,recommendation_status,explanation,model_drivers
0,2026-10-01,0.0023554613714693914,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Recurring financial obligations contribute to monthly pressure.,
1,2026-10-01,0.0016379959631839809,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Recurring financial obligations contribute to monthly pressure.,
2,2026-10-01,0.0019559309734170555,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Spending is growing faster than the configured threshold. | Recurring financial obligations contribute to monthly pressure.,
3,2026-10-01,0.0017867279428130812,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,
4,2026-10-01,0.0018910805461612927,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,
5,2026-10-01,0.0017381886556114084,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,
6,2026-10-01,0.0030756241538022803,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Recurring financial obligations contribute to monthly pressure.,
7,2026-10-01,0.001553646971214231,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Recurring financial obligations contribute to monthly pressure.,
8,2026-10-01,0.0019348207630219688,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,
9,2026-10-01,0.0026728087321223515,LOW,OBLIGATION_PRESSURE,SAVINGS_REINFORCEMENT,4,,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,
10,2026-10-01,0.0035166520620551326,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,
11,2026-10-01,0.0016775697701596898,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,
12,2026-10-01,0.001616167414214696,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Recurring financial obligations contribute to monthly pressure.,
13,2026-10-01,0.001682860143397137,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,
14,2026-10-01,0.0027523834453630222,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Recurring financial obligations contribute to monthly pressure.,
15,2026-10-01,0.0019500480313623583,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Recurring financial obligations contribute to monthly pressure.,
16,2026-10-01,0.0015956247068479317,LOW,STABLE,SAVINGS_REINFORCEMENT,4,,MONITOR,Recurring financial obligations contribute to monthly pressure.,
